Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,id,location_address,location_crossStreet,location_neighborhood,location_postalCode,location_city,location_state,location_country,categories_name,categories_pluralName,categories_shortName,cluster_label
Lower East Side,Union Square,Grocery,Whole Foods Market,40.73504451,-73.99110084,43bba61df964a520eb2c1fe3,4 Union Square South,btwn Broadway & University Pl,Union Square,10003,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,Union Square,Grocery,Whole Foods Market,40.73504451,-73.99110084,43bba61df964a520eb2c1fe3,4 Union Square South,btwn Broadway & University Pl,Union Square,10003,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,Union Square,Grocery,Whole Foods Market,40.73504451,-73.99110084,43bba61df964a520eb2c1fe3,4 Union Square South,btwn Broadway & University Pl,Union Square,10003,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,Union Square,Grocery,Whole Foods Market,40.73504451,-73.99110084,43bba61df964a520eb2c1fe3,4 Union Square South,btwn Broadway & University Pl,Union Square,10003,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,Union Square,Grocery,Whole Foods Market,40.73504451,-73.99110084,43bba61df964a520eb2c1fe3,4 Union Square South,btwn Broadway & University Pl,Union Square,10003,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Whole Foods Market,40.79410991,-73.96663311,4a95cf86f964a520c92420e3,808 Columbus Ave,at W 97th St,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Chelsea and Clinton,,Grocery,Whole Foods Market,40.7450575,-73.99554285,460d4b66f964a52005451fe3,250 7th Ave,at W 24th St,,10001,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,4
Clifton,,Market,Target,40.82486454,-74.13539877,4ad494d5f964a5203ce820e3,30 Kingsland Rd,btwn Washington Ave & River Rd,,7014,Clifton,NJ,United States,Big Box Store,Big Box Stores,Big Box Store,28
Clifton,,Market,Target,40.82486454,-74.13539877,4ad494d5f964a5203ce820e3,30 Kingsland Rd,btwn Washington Ave & River Rd,,7014,Clifton,NJ,United States,Big Box Store,Big Box Stores,Big Box Store,28
Clifton,,Market,Target,40.82486454,-74.13539877,4ad494d5f964a5203ce820e3,30 Kingsland Rd,btwn Washington Ave & River Rd,,7014,Clifton,NJ,United States,Big Box Store,Big Box Stores,Big Box Store,28
Clifton,,Market,Target,40.82486454,-74.13539877,4ad494d5f964a5203ce820e3,30 Kingsland Rd,btwn Washington Ave & River Rd,,7014,Clifton,NJ,United States,Big Box Store,Big Box Stores,Big Box Store,28
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,Fort Greene,Grocery,Whole Foods Market 365,40.68633674,-73.97846731,589ccf6cf16bb565be3091d4,292 Ashland Pl,at Lafayette Ave,Fort Greene,11217,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Greenwich Village and Soho,Chinatown,Market,Hong Kong Supermarket ??????,40.71759573,-73.99617254,4ae4bf7ef964a520bf9d21e3,157 Hester St,btwn Bowery & Elizabeth St,Chinatown,10013,New York,NY,United States,Supermarket,Supermarkets,Supermarket,14
Greenwich Village and Soho,Chinatown,Market,Hong Kong Supermarket ??????,40.71759573,-73.99617254,4ae4bf7ef964a520bf9d21e3,157 Hester St,btwn Bowery & Elizabeth St,Chinatown,10013,New York,NY,United States,Supermarket,Supermarkets,Supermarket,14
Greenwich Village and Soho,Chinatown,Market,Hong Kong Supermarket ??????,40.71759573,-73.99617254,4ae4bf7ef964a520bf9d21e3,157 Hester St,btwn Bowery & Elizabeth St,Chinatown,10013,New York,NY,United States,Supermarket,Supermarkets,Supermarket,14
Greenwich Village and Soho,Chinatown,Market,Hong Kong Supermarket ??????,40.71759573,-73.99617254,4ae4bf7ef964a520bf9d21e3,157 Hester St,btwn Bowery & Elizabeth St,Chinatown,10013,New York,NY,United States,Supermarket,Supermarkets,Supermarket,14
Greenwich Village and Soho,Chinatown,Market,Hong Kong Supermarket ??????,40.71759573,-73.99617254,4ae4bf7ef964a520bf9d21e3,157 Hester St,btwn Bowery & Elizabeth St,Chinatown,10013,New York,NY,United States,Supermarket,Supermarkets,Supermarket,14
Greenwich Village and Soho,Chinatown,Market,Hong Kong Supermarket ??????,40.71759573,-73.99617254,4ae4bf7ef964a520bf9d21e3,157 Hester St,btwn Bowery & Elizabeth St,Chinatown,10013,New York,NY,United States,Supermarket,Supermarkets,Supermarket,14
Greenwich Village and Soho,Chinatown,Market,Hong Kong Supermarket ??????,40.71759573,-73.99617254,4ae4bf7ef964a520bf9d21e3,157 Hester St,btwn Bowery & Elizabeth St,Chinatown,10013,New York,NY,United States,Supermarket,Supermarkets,Supermarket,14
Greenwich Village and Soho,Chinatown,Market,Hong Kong Supermarket ??????,40.71759573,-73.99617254,4ae4bf7ef964a520bf9d21e3,157 Hester St,btwn Bowery & Elizabeth St,Chinatown,10013,New York,NY,United States,Supermarket,Supermarkets,Supermarket,14
Greenwich Village and Soho,Chinatown,Market,Hong Kong Supermarket ??????,40.71759573,-73.99617254,4ae4bf7ef964a520bf9d21e3,157 Hester St,btwn Bowery & Elizabeth St,Chinatown,10013,New York,NY,United States,Supermarket,Supermarkets,Supermarket,14
Upper East Side,,Grocery,Fairway Market,40.77827552,-73.95252744,4e18c6f6d4c062b044ebf5d8,240 E 86th St,at 2nd Ave,,10028,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,11
Upper East Side,,Grocery,Fairway Market,40.77827552,-73.95252744,4e18c6f6d4c062b044ebf5d8,240 E 86th St,at 2nd Ave,,10028,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,11
Upper East Side,,Grocery,Fairway Market,40.77827552,-73.95252744,4e18c6f6d4c062b044ebf5d8,240 E 86th St,at 2nd Ave,,10028,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,11
Upper East Side,,Grocery,Fairway Market,40.77827552,-73.95252744,4e18c6f6d4c062b044ebf5d8,240 E 86th St,at 2nd Ave,,10028,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,11
Upper East Side,,Grocery,Fairway Market,40.77827552,-73.95252744,4e18c6f6d4c062b044ebf5d8,240 E 86th St,at 2nd Ave,,10028,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,11
Upper East Side,,Grocery,Fairway Market,40.77827552,-73.95252744,4e18c6f6d4c062b044ebf5d8,240 E 86th St,at 2nd Ave,,10028,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,11
Upper East Side,,Grocery,Fairway Market,40.77827552,-73.95252744,4e18c6f6d4c062b044ebf5d8,240 E 86th St,at 2nd Ave,,10028,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,11
Upper East Side,,Grocery,Fairway Market,40.77827552,-73.95252744,4e18c6f6d4c062b044ebf5d8,240 E 86th St,at 2nd Ave,,10028,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,11
Upper East Side,,Grocery,Fairway Market,40.77827552,-73.95252744,4e18c6f6d4c062b044ebf5d8,240 E 86th St,at 2nd Ave,,10028,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,11
Northwest Brooklyn,,Grocery,Trader Joe's,40.68961847,-73.99260333,49c170abf964a520a7551fe3,130 Court St,at Atlantic Ave,,11201,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Trader Joe's,40.68961847,-73.99260333,49c170abf964a520a7551fe3,130 Court St,at Atlantic Ave,,11201,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Trader Joe's,40.68961847,-73.99260333,49c170abf964a520a7551fe3,130 Court St,at Atlantic Ave,,11201,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Trader Joe's,40.68961847,-73.99260333,49c170abf964a520a7551fe3,130 Court St,at Atlantic Ave,,11201,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Northwest Brooklyn,,Grocery,Whole Foods Market,40.67526188,-73.98886313,52781665498e79b52476d279,214 3rd St,at 3rd Ave,,11215,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,21
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,Whole Foods Market,40.72379291,-73.991461,460d4b1ef964a52004451fe3,95 East Houston St,btwn Bowery & Chrystie St,,10002,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,H Mart,40.73041571,-73.98925516,5cfc1c52a8eb6000399545b4,39 3rd Ave,btw 9th & 10th St,,10003,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,H Mart,40.73041571,-73.98925516,5cfc1c52a8eb6000399545b4,39 3rd Ave,btw 9th & 10th St,,10003,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,H Mart,40.73041571,-73.98925516,5cfc1c52a8eb6000399545b4,39 3rd Ave,btw 9th & 10th St,,10003,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Lower East Side,,Grocery,H Mart,40.73041571,-73.98925516,5cfc1c52a8eb6000399545b4,39 3rd Ave,btw 9th & 10th St,,10003,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,14
Upper West Side,,Grocery,Trader Joe's,40.79062365,-73.96919113,5aec48900d2be7002c5ac421,670 Columbus Ave,93rd Street,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Trader Joe's,40.79062365,-73.96919113,5aec48900d2be7002c5ac421,670 Columbus Ave,93rd Street,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Trader Joe's,40.79062365,-73.96919113,5aec48900d2be7002c5ac421,670 Columbus Ave,93rd Street,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Upper West Side,,Grocery,Trader Joe's,40.79062365,-73.96919113,5aec48900d2be7002c5ac421,670 Columbus Ave,93rd Street,,10025,New York,NY,United States,Grocery Store,Grocery Stores,Grocery Store,37
Wallington,,Market,ShopRite,40.84447173,-74.10665053,55575b47498ea0e92491c462,Paterson Ave.,,,7057,Wallington,NJ,United States,Supermarket,Supermarkets,Supermarket,28
Wallington,,Market,ShopRite,40.84447173,-74.10665053,55575b47498ea0e92491c462,Paterson Ave.,,,7057,Wallington,NJ,United States,Supermarket,Supermarkets,Supermarket,28
Wallington,,Market,ShopRite,40.84447173,-74.10665053,55575b47498ea0e92491c462,Paterson Ave.,,,7057,Wallington,NJ,United States,Supermarket,Supermarkets,Supermarket,28
Wallington,,Market,ShopRite,40.84447173,-74.10665053,55575b47498ea0e92491c462,Paterson Ave.,,,7057,Wallington,NJ,United States,Supermarket,Supermarkets,Supermarket,28
Upper West Side,,Market,Fairway Market,40.78059818,-73.98127635,3fd66200f964a5202ee81ee3,2127 Broadway,btwn W 74th & 75th St,,10023,New York,NY,United States,Supermarket,Supermarkets,Supermarket,37
