Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,location_address,location_crossStreet,location_postalCode,id,location_city,location_state,categories_name,categories_pluralName,categories_shortName,location_neighborhood,cluster_label
Tower Hamlets / Hackney,Eastern Head district,Restaurant,Chez Elles,51.51870338,-0.071532563,45 Brick Ln,,E1 6PU,4fd4b30ae4b03f13ed0da048,London,Greater London,French Restaurant,French Restaurants,French,,10
Tower Hamlets / Hackney,Eastern Head district,Health,Barts Health,51.51701622,-0.051909141,,,,51812951498e9a1aa6fda9a8,London,Greater London,Emergency Room,Emergency Rooms,Emergency Room,,29
Tower Hamlets / Hackney,Eastern Head district,Restaurant,Wright Brothers,51.51998828,-0.075614956,8-9 Lamb St,,E1 6EA,5298656511d2919bf2d7719c,London,Greater London,Seafood Restaurant,Seafood Restaurants,Seafood,,10
Tower Hamlets / Hackney,Eastern Head district,Hotel,Bish Bash Bangers,51.51876831,-0.071615987,,,,53242aaa498ef5ce493aa942,London,Greater London,Food Truck,Food Trucks,Food Truck,,10
Tower Hamlets / Hackney,Eastern Head district,Grocery,As Nature Intended,51.52130694,-0.075416532,132 Commercial St,Exchange Building,E1 6NG,536e6aca498ea76ff20de569,,,Organic Grocery,Organic Groceries,Organic Grocery,,10
Tower Hamlets / Hackney,Eastern Head district,Restaurant,Sburoni,51.52501087,-0.077294422,Pump Shoreditch,168-175 Shoreditch High Street,E1 6HU,55539496498e246d246f43a0,Shoreditch,Greater London,Comfort Food Restaurant,Comfort Food Restaurants,Comfort Food,,10
Tower Hamlets / Hackney,Eastern Head district,Restaurant,Django Bango,51.51866235,-0.055639772,22-36 Raven Row,,E1 2EG,568f7b00498ea1df352a1754,London,Greater London,Southern / Soul Food Restaurant,Southern / Soul Food Restaurants,Southern / Soul,,29
Tower Hamlets / Hackney,Eastern Head district,Hotel,Absurd Bird,51.51738323,-0.073540054,54 Commercial St,Thrawl St,E1 6LT,56d2eba7cd10603390fed4d2,London,Greater London,Fried Chicken Joint,Fried Chicken Joints,Fried Chicken,,10
Tower Hamlets / Hackney,Eastern Head district,Restaurant,90 Degree MELT,51.52209699,-0.045404434,235 Mile End Rd,,E1 4AA,5858604b8ab03f6ac1e18713,London,Greater London,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,Vegetarian / Vegan,Mile End and Globe Town,29
Tower Hamlets / Hackney,Eastern Head district,Movie Theater,Curzon Aldgate,51.51365689,-0.069217086,2 Canter Way,Goodman's Fields,E1 8PS,58824c562f91cb3bc71648c6,London,Greater London,Movie Theater,Movie Theaters,Movie Theater,,10
Tower Hamlets / Hackney,Eastern Head district,Restaurant,Vegan Yes,51.518734,-0.07148288,64 Brick Ln,,E1 6QL,59ada1f8febf314589c6f8d5,London,Greater London,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,Vegetarian / Vegan,,10
Tower Hamlets / Hackney,Eastern Head district,Nightlife,Casa De Salsa,51.517169,-0.064022,,,E1 1GW,5be1cb77e1f0aa002cda9fa3,London,Greater London,Night Market,Night Markets,Night Market,,10
Tower Hamlets / Hackney,Eastern Head district,Library,Idea Store Watney Market,51.51434,-0.057291985,Commercial Road,,E1 2FB,5c7916f1ba57b4002c9f1ed0,London,Greater London,Library,Libraries,Library,,29
Tower Hamlets / Hackney,Eastern Head district,Restaurant,Bubala,51.51773,-0.073943,65 Commercial Street,,E1 6BD,5d76c1cc9a4ea1000876c03a,London,Greater London,Middle Eastern Restaurant,Middle Eastern Restaurants,Middle Eastern,,10
Leytonstone / Olympic Park / Walthamstow / Ilford,Eastern London,Health,Stratford Surgery,51.542738,-0.004227,Stratford,Westfield,,5156ec49e4b06ee00be0bcba,,,Emergency Room,Emergency Rooms,Emergency Room,,22
Leytonstone / Olympic Park / Walthamstow / Ilford,Eastern London,Breakfast,Nusa Kitchen,51.515768,-0.090636,Mason's Avenue,Basinghall street,E C2V,593fe3f10d8a0f7b00a3c00f,London,Greater London,Soup Place,Soup Places,Soup,,10
Leytonstone / Olympic Park / Walthamstow / Ilford,Eastern London,Market,Paternoster Square Market,51.514606,-0.099368,,,E C4M,5aba28b0e179102f683f5fc4,London,Greater London,Market,Markets,Market,,10
Hampstead / Kilburn / Belsize Park,Edgware,Breakfast,McDonald's,51.62141,-0.29192,154 STONEGROVE,,HA8 8AF,4cf8e4f76cee236acc5be903,Edgware,Greater London,Fast Food Restaurant,Fast Food Restaurants,Fast Food,,33
Chertsey,Egham,Education,Thorpe Lea Primary School,51.42446269,-0.524789893,Huntingfield Way,,TW20 8DY,50c8905ae4b03383a4d66812,Egham,Surrey,Elementary School,Elementary Schools,Elementary School,,5
Romford / Essex,Elm Park,Market,Number 10 Fish Bar,51.55116537,0.198912621,"Elm Park, London, Greater London",,RM12 4RH,5022cbf529a6d4f88756d4fe,Romford / Essex,Greater London,Fish Market,Fish Markets,Fish Market,,11
Southwark / Lewisham,Eltham,Education,Zoom Nursery,51.45476673,0.040002768,Lionel Street,,,4def27cbc65bf3f03e8faa01,Eltham,Greater London,Nursery School,Nursery Schools,Nursery School,,38
Southwark / Lewisham,Eltham,Library,Coldharbour Library,51.43088,0.057647,William Barefoot Drv,,SE9 3BT,4f382214e4b039c3c337837f,New Eltham,Greater London,Library,Libraries,Library,,16
Southwark / Lewisham,Eltham,Nightlife,Loopy Lous Streetdance,51.439462,0.066621,,,,50a27f85e4b0557d52eb2b8d,,,Nightclub,Nightclubs,Nightclub,,16
Southwark / Lewisham,Eltham,Education,"Newhaven School, Kings Park Campus",51.44897745,0.037730712,,,,570e2409cd102c0facb0b8be,,,Middle School,Middle Schools,Middle School,,38
Enfield / Upper Edmonton / Barnet,Enfield,Movie Theater,Lee Valley Cinema,51.63289706,-0.03739056,,,,4b9fe092f964a520c04637e3,,,Multiplex,Multiplexes,Cineplex,,19
Enfield / Upper Edmonton / Barnet,Enfield,Library,Enfield Town Library,51.65183285,-0.086268351,Church St,,En1,4badb36ff964a5200b643be3,Enfield,Greater London,Library,Libraries,Library,,19
Enfield / Upper Edmonton / Barnet,Enfield,Movie Theater,Odeon,51.6331468,-0.0372402,"Picketts Lock Lane, Edmonton",Picketts Lock Ln,N9 0AS,4bddb2bdbe5120a1d27afe70,Greater London,Greater London,Multiplex,Multiplexes,Cineplex,Enfield,19
Enfield / Upper Edmonton / Barnet,Enfield,Health,Chase Farm Hospital,51.66669965,-0.102910995,The Ridgeway,,EN2 8JS,4bff7704ca1920a195dbec81,Enfield,Greater London,Hospital,Hospitals,Hospital,,19
Enfield / Upper Edmonton / Barnet,Enfield,Breakfast,McDonald's,51.656433,-0.030064,1340 MOLLISON AVENUE,,EN3 7NJ,4c1a9f2cb306c9281be760b7,Enfield,Greater London,Fast Food Restaurant,Fast Food Restaurants,Fast Food,,19
Enfield / Upper Edmonton / Barnet,Enfield,Education,Enfield college,51.65285913,-0.046780894,73 Hertford Road,,EN3,4c229edc7e85c9286e5bbc21,Enfield,Greater London,College Academic Building,College Academic Buildings,Academic Building,,19
Enfield / Upper Edmonton / Barnet,Enfield,Nightlife,La Face,51.61440565,-0.064986737,,,,4ed17ceff5b9832adb8a9d48,Enfield,Greater London,Nightclub,Nightclubs,Nightclub,,19
Enfield / Upper Edmonton / Barnet,Enfield,Education,st mary's catholic primary school,51.630626,0.00159,,,,4f66e857e4b0ce431f563962,,,Elementary School,Elementary Schools,Elementary School,,19
Enfield / Upper Edmonton / Barnet,Enfield,Education,West Grove Primary School,51.63675487,-0.125755915,,,,4fdc9091e4b02cb4ec688377,,,Elementary School,Elementary Schools,Elementary School,,30
Enfield / Upper Edmonton / Barnet,Enfield,Nightlife,The Nile,51.586954,-0.097674,,,,4fdd1ac5e4b070b1a57d634b,,,Other Nightlife,Other Nightlife,Nightlife,,9
Enfield / Upper Edmonton / Barnet,Enfield,Nightlife,Mount Terrace,51.61735775,-0.016901008,,,,4ffa0555e4b03705cf777a65,,,Nightclub,Nightclubs,Nightclub,,19
Enfield / Upper Edmonton / Barnet,Enfield,Education,Chesterfield School,51.67017546,-0.031500967,,,,50c84ae4e4b0ec79d7541167,,,Middle School,Middle Schools,Middle School,,19
Enfield / Upper Edmonton / Barnet,Enfield,Library,Enfield Highway Library,51.6591963,-0.044943395,258 Hertford Road,,EN3 5BN,52010cdd498ee67ba052118b,England,,Library,Libraries,Library,,19
Enfield / Upper Edmonton / Barnet,Enfield,Health,Eye Casualty (north Mid),51.60945337,-0.083734337,Sterling Way,,,521330df11d25dfa3ba88c00,,,Emergency Room,Emergency Rooms,Emergency Room,,9
Enfield / Upper Edmonton / Barnet,Enfield,Movie Theater,Eric2,51.66699394,-0.017156627,,,,5277d5fe498e056eecd1418a,,,Multiplex,Multiplexes,Cineplex,,19
Enfield / Upper Edmonton / Barnet,Enfield,Market,sirwan food centre,51.630267,-0.055629,,,,5378e8d2498ecd8a3efd25fa,,,Fruit & Vegetable Store,Fruit & Vegetable Stores,Fruit & Vegetable Store,,19
Enfield / Upper Edmonton / Barnet,Enfield,Liquer,Brouhaha,51.58116692,-0.099535513,,,N13 4BS,53dd52ee498ed10544b14915,London,,Bar,Bars,Bar,,9
Enfield / Upper Edmonton / Barnet,Enfield,Grocery,Woodberry Down Fresh Fruit & Veg Shop,51.62738358,-0.089742366,,,,54b7c9a2498ec0e1cd9dc773,,,Organic Grocery,Organic Groceries,Organic Grocery,,19
Enfield / Upper Edmonton / Barnet,Enfield,Nightlife,Zebrano 2,51.583143,-0.100119,,,,554bcd56498ebd1960825cda,,,Other Nightlife,Other Nightlife,Nightlife,,9
Enfield / Upper Edmonton / Barnet,Enfield,Hotel,Ça?layan Sok,51.654335,-0.075959824,,,,5745a473cd10a7f2ccfa53a5,,,Food Court,Food Courts,Food Court,,19
Enfield / Upper Edmonton / Barnet,Enfield,Restaurant,weizei hot pot,51.499683,-0.221932,,,,58232018d5e7f7792e7af99c,,,Chinese Restaurant,Chinese Restaurants,Chinese,,26
Enfield / Upper Edmonton / Barnet,Enfield,Nightlife,Buchers,51.65467,-0.07979438,,,,5a19d7c2646e38068f79d0bd,,,Night Market,Night Markets,Night Market,,19
Enfield / Upper Edmonton / Barnet,Enfield,Breakfast,Çorba Dünyas?,51.63319,-0.054694265,,,N9,5b9435a32f97ec002c6a7cd2,London,Greater London,Soup Place,Soup Places,Soup,,19
Sutton / Epsom / Banstead / Leatherhead,Epsom,Movie Theater,Odeon,51.3336535,-0.2622515,14B-18 Upper High Street,,KT17 4QJ,4b3626eff964a520943025e3,Epsom,Surrey,Multiplex,Multiplexes,Cineplex,,2
Sutton / Epsom / Banstead / Leatherhead,Epsom,Nightlife,Boogie Lounge,51.33364417,-0.267390011,1A Waterloo Road,,KT19 8AY,4be66393477d9c74a2c1e62d,Epsom,Surrey,Nightclub,Nightclubs,Nightclub,,2
Sutton / Epsom / Banstead / Leatherhead,Epsom,Restaurant,El Rincon,51.309746,-0.241054,16 Highview House,Tattenham Crescent,KT18 5QB,4c2cd6c477cfe21e40a7b6f1,Epsom,Surrey,Spanish Restaurant,Spanish Restaurants,Spanish,Epsom Downs,2
Sidcup / Bexleyheath / Bromley,Erith,Library,Erith Library,51.47806537,0.180212259,35-41 Bexley Rd.,,DA8 1SL,4d7e2a97ebc1548114eedca6,Erith,Greater London,Library,Libraries,Library,,25
Chessington  / Cobham,Esher,Restaurant,Côte Brasserie,51.36856651,-0.366808715,102-106 High St,,KT10 9QL,4f1c1815e4b07beffe9d789e,Esher,Surrey,French Restaurant,French Restaurants,French,,24
Chessington  / Cobham,Esher,Movie Theater,Everyman Cinema,51.37074766,-0.363932914,22 High St,,KT10 9RT,56623a0d498eb6bd9b227632,Esher,Surrey,Movie Theater,Movie Theaters,Movie Theater,,24
Romford / Essex,Essex,Education,St. Antony's R.C. Primary,51.616456,0.02266,Mornington Road,,IG8 0TX,4cb427b7c5e6a1cd5febf0f6,Essex,Essex,Elementary School,Elementary Schools,Elementary School,,39
Romford / Essex,Romford / Essex,Education,Brady Primary School,51.51403514,0.204014157,Wennington Rd,,RM13 9XA,4ff1ab24e4b0730ed8e58e3d,Romford / Essex,Essex,Elementary School,Elementary Schools,Elementary School,,11
Romford / Essex,Essex,Restaurant,Creamery Twist,51.52954084,0.157874375,110 South Street,,RM1 1SS,554cbecc498e0a16ae34bc1d,Romford / Essex,Essex,Comfort Food Restaurant,Comfort Food Restaurants,Comfort Food,,11
Holborn / Clerkenwell / Soho (SE),Farringdon,Breakfast,Caravan,51.52537573,-0.110218574,11 Exmouth Market,,EC1R 4QD,4b7e8b1bf964a520eef12fe3,London,Greater London,Food And Breakfast Spot,Food And Breakfast Spots,Food And Breakfast,,37
Holborn / Clerkenwell / Soho (SE),Farringdon,Liquer,Coin Laundry,51.52638,-0.107932,70 Exmouth Market,,EC1R 4QP,5660a5ed498e5b4f3698f9f4,London,Greater London,Cocktail Bar,Cocktail Bars,Cocktail,,37
Isleworth / Twickenham / Richmond,Feltham,Market,Fruit and Veg Stall,51.446034,-0.410702,The Centre,,,577ba2b2498e44e069a1c418,Feltham,Greater London,Fruit & Vegetable Store,Fruit & Vegetable Stores,Fruit & Vegetable Store,,1
Holloway / Hornsey / Wood Green,Finsbury Park,Library,Finsbury Park Library,51.56119947,-0.104835248,26 Blackstock Road,,N4,4c0921466071a593c652dd32,London,Greater London,College Library,College Libraries,Library,,15
Holloway / Hornsey / Wood Green,Finsbury Park,Restaurant,Salt The Radish,51.56373423,-0.102723356,45 Blackstock Rd,,N4 2JF,591c205c0d8a0f42e6d36608,,,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,Vegetarian / Vegan,Brownswood,15
Holloway / Hornsey / Wood Green,Finsbury Park,Grocery,Green & Glory Ltd,51.566235,-0.107524395,55 Stroud Green Road,,N4 3EG,5d029d91d41bb7002c9d8a6f,London,Greater London,Organic Grocery,Organic Groceries,Organic Grocery,Finsbury Park,9
Marylebone / Fitzrovia / Central London,Fitzrovia,Breakfast,McDonald's,51.524356,-0.137946,134 Tottenham Court Rd.,Warren St,W1T 5BA,4ad77a44f964a520290b21e3,London,Greater London,Fast Food Restaurant,Fast Food Restaurants,Fast Food,,37
Marylebone / Fitzrovia / Central London,Fitzrovia,Health,Twentysix Mancave 4th Floor,51.522008,-0.136381,90 Tottenham Court Road,,W1T 4TJ,4cbd6b2a43ec6dcb69a3b631,London,Greater London,Emergency Room,Emergency Rooms,Emergency Room,,37
Marylebone / Fitzrovia / Central London,Fitzrovia,Nightlife,The Edition Basement,51.51680255,-0.136324668,10 Berners St,,W1T 3NP,529b50cd11d28e167002d507,London,Greater London,Nightclub,Nightclubs,Nightclub,,0
Marylebone / Fitzrovia / Central London,Fitzrovia,Grocery,Planet Organic,51.51799113,-0.131753462,23-24 Tottenham Court Walk,,W1T 1BJ,562e839a498e260cde4cd4a8,London,Greater London,Organic Grocery,Organic Groceries,Organic Grocery,,37
Marylebone / Fitzrovia / Central London,Fitzrovia,Breakfast,Shoop Soup Shop,51.519955,-0.13655394,27 Tottenham St,,W1T 4RW,58cfd5b4e0adac0132517685,London,Greater London,Soup Place,Soup Places,Soup,,37
Marylebone / Fitzrovia / Central London,Fitzrovia,Health,Emergency Department,51.52496,-0.136227,University College Hospital,Gower St,W C1E,5a512b8a3149b95ec5fb2bd7,London,Greater London,Emergency Room,Emergency Rooms,Emergency Room,,37
Marylebone / Fitzrovia / Central London,Fitzrovia,Restaurant,Kalifornia Kitchen,51.518578,-0.13255745,20 Percy St,,W1T 1DZ,5c0e3ebda6031c002c658b43,London,Greater London,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,Vegetarian / Vegan,Fitzrovia,37
Leytonstone / Olympic Park / Walthamstow / Ilford,Forest Gate,Breakfast,McDonald's,51.546368,0.027956,322/326 ROMFORD ROAD,,E7 8BD,4ce2f57fb7a3b1f74b6c2d8d,Forest Gate,Greater London,Fast Food Restaurant,Fast Food Restaurants,Fast Food,,22
Leytonstone / Olympic Park / Walthamstow / Ilford,Forest Gate,Restaurant,Pie Republic,51.5439489,0.026223775,80 Upton Ln,,E7 9LW,54d5dd49498eab400b436078,London,Greater London,Comfort Food Restaurant,Comfort Food Restaurants,Comfort Food,,22
Lambeth / Camberwell / Walworth / Peckham,Forest Hill,Market,Horniman Farmers' Market,51.4421474,-0.061573153,Horniman Museum And Garden,,,52976fef11d24998dc1ef567,Forest Hill,Greater London,Farmers Market,Farmers Markets,Farmer's Market,,36
Lambeth / Camberwell / Walworth / Peckham,Forest Hill,Caf�,No.41 Coffee and Kitchen,51.44407282,-0.042700429,41 Brockley Rise,,SE23 1JG,575e80d0498e205c9ab97df6,London,Greater London,Café,Cafés,Café,,36
Chelsea / Earl's Court / Fulham ,Fulham,Restaurant,El Metro,51.47950267,-0.19575329,10-12 Effie Rd,Fulham Broadway,SW6 1TB,4ac518bef964a52012a320e3,London,Greater London,Spanish Restaurant,Spanish Restaurants,Spanish,,20
Chelsea / Earl's Court / Fulham ,Fulham,Park,Bishop's Park,51.471443,-0.217041,Bishop's Ave,,SW6 6EA,4ac518cef964a5203ba620e3,London,Greater London,Park,Parks,Park,,26
Chelsea / Earl's Court / Fulham ,Fulham,Market,North End Road Market,51.48412228,-0.201277704,North End Rd,,SW6 1NL,4ac518eef964a52027ad20e3,Fulham,Greater London,Farmers Market,Farmers Markets,Farmer's Market,,20
Chelsea / Earl's Court / Fulham ,Fulham,Movie Theater,Vue,51.48030018,-0.194453434,Fulham Broadway Retail Centre,Fulham Rd,SW6 1BW,4b5b426bf964a5202cef28e3,Fulham Broadway,Greater London,Multiplex,Multiplexes,Cineplex,,20
Chelsea / Earl's Court / Fulham ,Fulham,Library,Fulham Library,51.47726266,-0.202657166,598 Fulham Rd,,SW6 5NX,4bd855acdc4b952106d97888,Fulham,Greater London,Library,Libraries,Library,,20
Chelsea / Earl's Court / Fulham ,Fulham,Park,Eel Brook Common,51.47655854,-0.194916771,Musgrave Cres,New Kings Rd,SW6,4bf7d2d14a67c928883024cf,London,Greater London,Park,Parks,Park,,20
Chelsea / Earl's Court / Fulham ,Fulham,Education,Ravensbourne University,51.50180106,0.00521872,6 Penrose Way,,SW10 0EW,4c357a5c09a99c7404730c2a,Greater London,Greater London,University,Universities,University,,3
Chelsea / Earl's Court / Fulham ,Fulham,Restaurant,Sapori Sardi,51.47193123,-0.210610639,786 Fulham Road,,SW6 5SL,4dd8f47b8877f115100ea8aa,London,Greater London,Italian Restaurant,Italian Restaurants,Italian,,26
Chelsea / Earl's Court / Fulham ,Fulham,Hotel,Kings Rd Country Market,51.47397251,-0.211188266,,,,4ead3517f5b936710b624b9e,,,Food Court,Food Courts,Food Court,,26
Chelsea / Earl's Court / Fulham ,Fulham,Grocery,Little Waitrose & Partners,51.47411317,-0.202280458,8 Heathman's Road,Heathmans Rd,SW6 4TH,4f902770e4b054d987eff436,London,Greater London,Grocery Store,Grocery Stores,Grocery Store,,20
Chelsea / Earl's Court / Fulham ,Fulham,Market,Ocean Catch,51.485663,-0.200975,,,,55799fcd498e74de5f3c2309,,,Fish Market,Fish Markets,Fish Market,,20
Chelsea / Earl's Court / Fulham ,Fulham,Grocery,Whole Foods Market,51.4801577,-0.196246592,2-6 Fulham Broadway,,SW6 1AA,57ffbdccd67cbff15d992039,Fulham Broadway,Greater London,Grocery Store,Grocery Stores,Grocery Store,,20
Chelsea / Earl's Court / Fulham ,Fulham,Hotel,Market Hall Fulham,51.48011681,-0.195259561,472 Fulham Rd,,SW6 1BY,5aeef4b8628c83002cf39cfd,Fulham Broadway,Greater London,Food Court,Food Courts,Food Court,,20
Chelsea / Earl's Court / Fulham ,Fulham,Breakfast,Utter Waffle,51.487108,-0.196902,,,SW6 1TU,5f3917406d8df2695f30a376,London,Greater London,Snack Place,Snack Places,Snacks,,20
Uxbridge / Hillingdon / Hayes,Gerrards Cross,Movie Theater,Everyman Cinema,51.58879456,-0.553422509,Ethorpe Crescent,,SL9 8PN,5662f0f9498e897cbdf326cf,Gerrards Cross,Buckinghamshire,Multiplex,Multiplexes,Cineplex,,14
Hampstead / Kilburn / Belsize Park,Golders Green,Education,King Alfred School,51.56958447,-0.184970177,"Manor Wood, North End Rd",,NW11 7HY,4cb7381a304576b09b68b0c2,London,Greater London,High School,High Schools,High School,,27
Marylebone / Fitzrovia / Central London,"Great Portland Street, Fitzrovia",Caf�,Kaffeine,51.51845747,-0.140478922,66 Great Titchfield St,Riding House St,W1W 7QJ,4ad24f09f964a520d3e020e3,London,Greater London,Coffee Shop,Coffee Shops,Coffee Shop,,0
Marylebone / Fitzrovia / Central London,"Great Portland Street, Fitzrovia",Health,The Portland Hospital,51.52308968,-0.144076527,205 Great Portland St,,W1W 5AH,4ae5f810f964a520a0a321e3,London,Greater London,Hospital,Hospitals,Hospital,,0
Marylebone / Fitzrovia / Central London,"Great Portland Street, Fitzrovia",Restaurant,Bonnie Gull Seafood Shack,51.51934666,-0.140089287,21A Foley St.,,W1W 6DS,5069e4a9e4b04cedfd9b4f65,Fitzrovia,Greater London,Seafood Restaurant,Seafood Restaurants,Seafood,,0
Marylebone / Fitzrovia / Central London,"Great Portland Street, Fitzrovia",Library,Cavendish Library,51.52079416,-0.140314636,115 New Cavendish St,,W1W 6UW,51a0ca51498e75bca5a7cc8b,London,Greater London,College Library,College Libraries,Library,,0
Marylebone / Fitzrovia / Central London,"Great Portland Street, Fitzrovia",Restaurant,Burger & Lobster,51.5172705,-0.140936351,6 Little Portland St,,W1W 7JE,537a69a0498e0a58c09a8e48,London,Greater London,Seafood Restaurant,Seafood Restaurants,Seafood,,0
Marylebone / Fitzrovia / Central London,"Great Portland Street, Fitzrovia",Entertainment,Scandal,51.51707,-0.14193,,,W1W 7JG,59bdb8aa89e4903cca2dc0a3,London,Greater London,General Entertainment,General Entertainment,Entertainment,,0
Ealing / Wembley / Acton / Chiswick,Greenford,Education,St Benedicts High,51.52065936,-0.307229168,,,,4cb0479f75ebb60c9216c3ad,,,High School,High Schools,High School,,12
Ealing / Wembley / Acton / Chiswick,Greenford,Breakfast,McDonald's,51.54287,-0.342018,13 Greenford Road,Greenford Rd,UB6 0UW,4d0264685824548139e14aac,Greenford,Greater London,Fast Food Restaurant,Fast Food Restaurants,Fast Food,,8
Ealing / Wembley / Acton / Chiswick,Greenford,Library,Northolt Library,51.53895269,-0.385495885,,,,4f193304e4b0808f61f1f793,,,Library,Libraries,Library,,8
Ealing / Wembley / Acton / Chiswick,Greenford,Breakfast,KFC,51.5321457,-0.3088934,Alperton Lane,,UB6 8AA,576db845cd104243c16e2635,Greenford,Greater London,Fast Food Restaurant,Fast Food Restaurants,Fast Food,,12
Ealing / Wembley / Acton / Chiswick,Greenford,Education,Willow Tree Primary School,51.550503,-0.37914565,,,UB5 5TS,5e6208a413810600087cd04b,,,Elementary School,Elementary Schools,Elementary School,,8
Sidcup / Bexleyheath / Bromley,Greenhithe,Movie Theater,Showcase Cinema,51.43726173,0.270407328,Water Circus,Bluewater Shopping Centre,DA9 9SG,4bc71e9192b376b05e104f3a,Greenhithe,Kent,Multiplex,Multiplexes,Cineplex,,7
Sidcup / Bexleyheath / Bromley,Greenhithe,Hotel,Bluewater Wintergarden Foodcourt,51.4391629,0.273712274,Winter Garden,Bluewater Shopping Centre,DA9 9ST,4c7cead348c6236ae4d66211,Greenhithe,Kent,Food Court,Food Courts,Food Court,,7
Sidcup / Bexleyheath / Bromley,Greenhithe,Restaurant,Tapas Revolution,51.4377505,0.270712423,Upper Plaza,Bluewater Shopping Centre,DA9 9ST,4ed90c680e61d46ad656a600,Greenhithe,Kent,Tapas Restaurant,Tapas Restaurants,Tapas,,7
Greenwich / Poplar / Rotherhithe,Greenwich,Nightlife,Trafalgar Tavern,51.48447987,-0.004461532,Park Row,at Crane St,SE10 9NW,4ac518dbf964a520eba820e3,Greenwich,Greater London,Pub,Pubs,Pub,,3
Greenwich / Poplar / Rotherhithe,Greenwich,Market,Greenwich Market,51.4816241,-0.009091542,Greenwich High Rd,5B Greenwich Market,SE10 9HZ,4ac518edf964a520b5ac20e3,London,Greater London,Market,Markets,Market,,3
Greenwich / Poplar / Rotherhithe,Greenwich,Movie Theater,Odeon,51.49059224,0.012792502,Bugsby's Way,Bugsby's Way,SE10 0QJ,4ae74a67f964a52017aa21e3,Greenwich,Greater London,Movie Theater,Movie Theaters,Movie Theater,,3
Greenwich / Poplar / Rotherhithe,Greenwich,Nightlife,The Mitre,51.48018828,-0.009549863,291 High Rd,Roan St,SE10 8NA,4b531ce2f964a520428f27e3,London,Greater London,Pub,Pubs,Pub,,3
Greenwich / Poplar / Rotherhithe,Greenwich,Caf�,Starbucks,51.482138,-0.009885,54-56 Greenwich Church St,At Cutty Sark,SE10 9BL,4b7409f8f964a520f7c42de3,London,Greater London,Coffee Shop,Coffee Shops,Coffee Shop,,3
Greenwich / Poplar / Rotherhithe,Greenwich,Restaurant,Café Rouge,51.47978102,-0.009322087,"30 Stockwell Street, Greenwich",at 30 Stockwell St,SE10 9JN,4b7fe8c7f964a520c84330e3,London,Greater London,French Restaurant,French Restaurants,French,,3
Greenwich / Poplar / Rotherhithe,Greenwich,Park,Greenwich Park,51.47752078,0.000858307,Maze Hill,Charlton Way,SE10 9NF,4bc9d8eb937ca593e96aa692,London,Greater London,Park,Parks,Park,,3
Greenwich / Poplar / Rotherhithe,Greenwich,Health,Peti's Shelter,51.48072205,-0.020910409,,,,4e8f9ab35c5c4562efaa2b3c,London,Greater London,Emergency Room,Emergency Rooms,Emergency Room,,3
Greenwich / Poplar / Rotherhithe,Greenwich,Education,St Ursula's Convent School,51.47518816,-0.005613917,70 Croom's Hill Rd,,SE10 8HN,512f51fae4b060d72c384af8,London,Greater London,Elementary School,Elementary Schools,Elementary School,,3
Greenwich / Poplar / Rotherhithe,Greenwich,Market,Royal Arsenal Farmers' Market,51.493908,0.069384,,,,55c5d5f7498e78725f715828,,,Farmers Market,Farmers Markets,Farmer's Market,,38
Greenwich / Poplar / Rotherhithe,Greenwich,Education,James Wolfe Primary School,51.47938515,-0.01272195,Randall Place,,,585fbfeddc33290555fa8942,London,Greater London,Elementary School,Elementary Schools,Elementary School,,3
Greenwich / Poplar / Rotherhithe,Greenwich,Entertainment,Cutty Sark Merry-Go-Round,51.48257,-0.009736419,Cutty Sark,,SE10 9BL,5a88082b61e53b029b760b1d,Genetic,,Theme Park Ride / Attraction,Theme Park Rides/Attractions,Theme Park,Greenwich West,3
Greenwich / Poplar / Rotherhithe,Greenwich,Education,Alpha Nursery,51.473107,-0.014056,,,SE10 8PA,5ed6c1b2f46c630008f25169,London,Greater London,Nursery School,Nursery Schools,Nursery School,,3
Hoxton,Guildhall,Restaurant,Hawksmoor Guildhall,51.515498,-0.090849,10 Basinghall Street,,EC2V 5BQ,4e9d32995503b4a7c128d043,London,Greater London,Steakhouse,Steakhouses,Steakhouse,City of London,10
Tower Hamlets / Hackney,Hackney,Market,Broadway Market,51.536596,-0.061796,Broadway Market,Westgate St,E8 4QJ,4ac518d2f964a5200aa720e3,London,Greater London,Market,Markets,Market,,29
Tower Hamlets / Hackney,Hackney,Movie Theater,Rio Cinema,51.54964907,-0.075338559,107 Kingsland High St,,E8 2PB,4ac518e8f964a520a6ab20e3,London,Greater London,Indie Movie Theater,Indie Movie Theaters,Indie Movies,Dalston,15
Tower Hamlets / Hackney,Hackney,Caf�,Climpson & Sons,51.53743478,-0.061136803,67 Broadway Market,,E8 4PH,4acdaa10f964a52097cc20e3,London,Greater London,Coffee Shop,Coffee Shops,Coffee Shop,"London Fields, London, Greater London",29
Tower Hamlets / Hackney,Hackney,Caf�,L'Eau à la Bouche,51.53671691,-0.061754133,35-37 Broadway Market,,E8 4PH,4ae46980f964a5206e9a21e3,London Fields,Greater London,Café,Cafés,Café,,29
